case_id,reason_code,expected_minor,observed_minor,matched_minor
REC-LEGACY-0471,exact_match,3924043,3924043,3924043
REC-LEGACY-0472,exact_match,11379448,11379448,11379448
REC-LEGACY-0473,exact_match,4354839,4354839,4354839
REC-LEGACY-0474,exact_match,344968,344968,344968
REC-LEGACY-0475,exact_match,2429669,2429669,2429669
REC-LEGACY-0476,exact_match,16499369,16499369,16499369
REC-LEGACY-0477,exact_match,195371,195371,195371
REC-LEGACY-0478,exact_match,2157246,2157246,2157246
REC-LEGACY-0479,exact_match,3849523,3849523,3849523
REC-LEGACY-0480,exact_match,4805476,4805476,4805476
REC-LEGACY-0481,exact_match,2365899,2365899,2365899
REC-LEGACY-0482,exact_match,1189531,1189531,1189531
REC-LEGACY-0483,exact_match,31573644,31573644,31573644
REC-LEGACY-0484,exact_match,4710472,4710472,4710472
REC-LEGACY-0485,exact_match,42628408,42628408,42628408
REC-LEGACY-0486,exact_match,3487796,3487796,3487796
REC-LEGACY-0487,exact_match,4302254,4302254,4302254
REC-LEGACY-0488,exact_match,1442925,1442925,1442925
REC-LEGACY-0489,exact_match,2744215,2744215,2744215
REC-LEGACY-0490,exact_match,37720106,37720106,37720106
REC-LEGACY-0491,exact_match,421215,421215,421215
REC-LEGACY-0492,exact_match,4017596,4017596,4017596
REC-LEGACY-0493,exact_match,657714,657714,657714
REC-LEGACY-0494,exact_match,5671678,5671678,5671678
REC-LEGACY-0495,exact_match,194170515,194170515,194170515
REC-LEGACY-0496,exact_match,3848491,3848491,3848491
REC-LEGACY-0497,exact_match,3773698,3773698,3773698
REC-LEGACY-0498,exact_match,2340009,2340009,2340009
REC-LEGACY-0499,exact_match,3622401,3622401,3622401
REC-MISSING-REF,exact_match,45000,45000,45000
REC-NEXT-MONTH,exact_match,30000,30000,30000
REC-PAISE,exact_match,101,101,101
REC-PARTIAL,exact_match,400000,400000,400000
REC-PARTIAL-REFUND,exact_match,50000,50000,50000
REC-REFUND,exact_match,200000,200000,200000
REC-RETRY,exact_match,150000,150000,150000
REC-REVERSAL,exact_match,320000,320000,320000
REC-REVERSED,exact_match,320000,320000,320000
REC-SPLIT,exact_match,1000000,1000000,1000000
REC-THRESHOLD-ABOVE,exact_match,5000001,5000001,5000001
REC-THRESHOLD-EQUAL,exact_match,5000000,5000000,5000000
REC-TIMING,timing_difference,88000,88000,88000
